date,daily_electricity
2017-09-04,1290942.0
2017-09-05,1346255.0
2017-09-06,1341668.0
2017-09-07,1303517.0
2017-09-08,1332885.0
2017-09-09,1181393.0
2017-09-10,1123269.0
2017-09-11,1266035.0
2017-09-12,1284757.0
2017-09-13,1326030.0
2017-09-14,1301378.0
2017-09-15,1245271.0
2017-09-16,1188346.0
2017-09-17,1153337.0
2017-09-18,1296091.0
2017-09-19,1361038.0
2017-09-20,1337144.0
2017-09-21,1345048.0
2017-09-22,1338420.0
2017-09-23,1150122.0
2017-09-24,1125812.0
2017-09-25,1278652.0
2017-09-26,1311813.0
2017-09-27,1318617.0
2017-09-28,1356519.0
2017-09-29,1338511.0
2017-09-30,1191808.0
2017-10-01,1173562.0
2017-10-02,1297022.0
2017-10-03,1277947.0
2017-10-04,1286034.0
2017-10-05,1349737.0
2017-10-06,1326869.0
2017-10-07,1259535.0
2017-10-08,1173217.0
2017-10-09,1247276.0
2017-10-10,1290842.0
2017-10-11,1303475.0
2017-10-12,1267106.0
2017-10-13,1228819.0
2017-10-14,1165162.0
2017-10-15,1152696.0
2017-10-16,1233565.0
2017-10-17,1242708.0
2017-10-18,1237109.0
2017-10-19,1223175.0
2017-10-20,1256043.0
2017-10-21,1206582.0
2017-10-22,1157085.0
2017-10-23,1250572.0
2017-10-24,1294185.0
2017-10-25,1285881.0
2017-10-26,1296346.0
2017-10-27,1304564.0
2017-10-28,1293123.0
2017-10-29,1281043.0
2017-10-30,1312211.0
2017-10-31,1358597.0
2017-11-01,1323265.0
2017-11-02,1351376.0
2017-11-03,1330543.0
2017-11-04,1321356.0
2017-11-05,1274931.0
2017-11-06,1404567.0
2017-11-07,1435794.0
2017-11-08,1442037.0
2017-11-09,1415149.0
2017-11-10,1439304.0
2017-11-11,1392495.0
2017-11-12,1374543.0
2017-11-13,1488702.0
2017-11-14,1493053.0
2017-11-15,1493895.0
2017-11-16,1479821.0
2017-11-17,1456590.0
2017-11-18,1425386.0
2017-11-19,1422938.0
2017-11-20,1507471.0
2017-11-21,1524891.0
2017-11-22,1540986.0
2017-11-23,1521620.0
2017-11-24,1497195.0
2017-11-25,1417581.0
2017-11-26,1470555.0
2017-11-27,1707681.0
2017-11-28,1642969.0
2017-11-29,1629844.0
2017-11-30,1651073.0
2017-12-01,1667386.0
2017-12-02,1591624.0
2017-12-03,1579493.0
2017-12-04,1704027.0
2017-12-05,1706891.0
2017-12-06,1732079.0
2017-12-07,1785843.0
